Date,montoSpei,montoCodi,tc
4/8/2020,"335,729,604,240","3,802,592",22.614
5/8/2020,"367,482,948,955","3,501,319",22.7845
6/8/2020,"364,223,368,472","3,269,126",22.4068
7/8/2020,"372,651,870,203","3,627,391",22.3652
8/8/2020,"4,830,473,603","2,660,550",N/E
9/8/2020,"1,901,285,997","1,576,546",N/E
10/8/2020,"383,151,749,156","4,857,364",22.4892
11/8/2020,"320,821,847,710","3,080,786",22.485
12/8/2020,"332,749,632,963","3,209,625",22.349
13/08/2020,"405,496,753,119","3,456,194",22.3457
14/08/2020,"465,943,477,669","5,332,767",22.2628
15/08/2020,"6,841,766,665","3,629,615",N/E
16/08/2020,"2,653,974,691","2,129,299",N/E
17/08/2020,"490,899,789,187","3,958,896",22.0313
18/08/2020,"359,073,970,460","4,054,902",22.057
19/08/2020,"347,917,249,251","3,084,422",22.1535
20/08/2020,"431,018,898,921","3,545,146",22.0527
21/08/2020,"379,558,791,753","3,677,324",22.176
22/08/2020,"5,062,268,131","2,569,578",N/E
23/08/2020,"1,882,326,067","1,709,707",N/E
24/08/2020,"393,168,268,635","3,305,388",22.0362
25/08/2020,"349,712,228,562","3,627,561",21.984
26/08/2020,"409,077,473,408","3,477,587",21.9723
27/08/2020,"422,716,977,279","3,279,350",21.9202
28/08/2020,"479,969,044,785","5,055,230",22.1168
29/08/2020,"7,285,335,792","3,612,613",N/E
30/08/2020,"2,806,699,045","2,085,969",N/E
31/08/2020,"589,414,432,736","6,907,469",21.8602
1/9/2020,"396,138,501,427","4,436,549",21.888
2/9/2020,"357,665,065,048","3,655,641",21.7445
3/9/2020,"369,233,647,097","3,856,192",21.8393
4/9/2020,"391,646,567,319","4,149,602",21.6383
5/9/2020,"5,482,702,497","2,235,733",N/E
6/9/2020,"2,140,319,933","1,561,390",N/E
7/9/2020,"336,752,694,740","3,879,927",21.6115
8/9/2020,"348,196,220,757","3,830,200",21.5887
9/9/2020,"337,455,907,121","3,035,601",21.7138
10/9/2020,"418,990,802,114","3,422,331",21.5377
11/9/2020,"457,128,942,733","5,152,222",21.2773
12/9/2020,"5,615,761,231","2,726,181",N/E
13/09/2020,"2,253,666,941","1,652,739",N/E
14/09/2020,"496,800,217,643","4,408,298",21.321
15/09/2020,"432,512,036,166","4,669,609",21.0728
16/09/2020,"4,703,188,444","2,189,515",N/E
17/09/2020,"590,171,462,193","3,596,385",21.0692
18/09/2020,"413,331,820,972","3,276,516",20.985
19/09/2020,"5,340,902,726","2,460,455",N/E
20/09/2020,"2,137,728,876","1,638,331",N/E
21/09/2020,"443,477,846,275","3,231,381",20.9697
22/09/2020,"387,765,433,211","2,897,298",21.505
23/09/2020,"382,292,821,120","2,910,703",21.5682
24/09/2020,"389,445,126,068","3,091,095",22.0897
25/09/2020,"443,210,736,690","3,434,071",22.3678
26/09/2020,"5,668,126,293","2,115,564",N/E
27/09/2020,"2,102,761,095","1,533,787",N/E
28/09/2020,"496,318,548,929","4,606,929",22.4402
29/09/2020,"440,468,957,978","4,129,672",22.4573
30/09/2020,"591,399,081,367","4,949,279",22.3598
1/10/2020,"444,646,412,800","4,586,266",22.1438
2/10/2020,"387,655,705,587","4,159,039",21.9562
3/10/2020,"5,799,564,336","2,529,858",N/E
4/10/2020,"2,471,362,390","1,956,393",N/E
5/10/2020,"432,310,436,726","3,530,218",21.7025
6/10/2020,"396,805,001,370","2,775,980",21.396
7/10/2020,"367,764,443,946","2,693,077",21.4507
8/10/2020,"385,952,123,780","2,824,563",21.493
9/10/2020,"400,056,367,394","3,495,803",21.4318
10/10/2020,"5,685,969,086","1,806,473",N/E
11/10/2020,"2,052,129,531","1,424,620",N/E
12/10/2020,"359,264,232,833","4,667,328",21.1822
13/10/2020,"415,858,675,888","3,552,332",21.2183
14/10/2020,"433,101,051,444","4,112,281",21.3677
15/10/2020,"463,708,056,184","4,958,017",21.2998
16/10/2020,"420,964,798,735","3,989,898",21.3832
17/10/2020,"5,934,236,699","2,508,304",N/E
18/10/2020,"2,406,076,018","1,685,879",N/E
19/10/2020,"490,221,570,581","3,658,627",21.1765
20/10/2020,"422,223,352,976","3,019,685",21.1342
21/10/2020,"396,480,745,319","3,353,331",21.0902
22/10/2020,"414,369,663,991","3,089,493",21.064
23/10/2020,"445,875,068,451","3,670,661",21.03
24/10/2020,"5,429,651,185","2,368,208",N/E
25/10/2020,"2,235,928,243","1,385,813",N/E
26/10/2020,"452,381,119,329","5,266,312",20.9205
27/10/2020,"393,370,204,602","3,453,134",20.9818
28/10/2020,"418,463,591,684","3,713,678",20.8798
29/10/2020,"487,932,643,290","4,475,273",21.1648
30/10/2020,"586,381,383,549","5,690,045",21.377
31/10/2020,"9,878,403,141","3,878,818",N/E
1/11/2020,"3,256,564,574","2,336,988",N/E
2/11/2020,"10,049,793,234","3,302,141",N/E
3/11/2020,"540,405,818,272","4,381,538",21.2508
4/11/2020,"400,767,087,126","4,025,085",21.1555
5/11/2020,"437,062,691,887","4,344,946",21.0345
6/11/2020,"421,379,177,757","4,163,455",20.7612
7/11/2020,"6,104,165,064","2,641,802",N/E
8/11/2020,"2,406,442,031","1,923,346",N/E
9/11/2020,"431,308,397,559","5,759,300",20.62
10/11/2020,"379,070,641,979","4,072,762",20.36
11/11/2020,"341,459,888,670","4,208,247",20.4018
12/11/2020,"468,200,425,216","4,706,823",20.5772
13/11/2020,"476,987,344,855","6,108,468",20.5303
14/11/2020,"9,475,500,177","4,618,052",N/E
15/11/2020,"3,698,109,165","3,025,703",N/E
16/11/2020,"6,719,675,020","3,606,324",N/E
17/11/2020,"607,240,189,544","4,854,688",20.4833
18/11/2020,"441,311,088,233","4,783,142",20.3212
19/11/2020,"410,417,646,507","5,097,400",20.2388
20/11/2020,"441,913,057,200","5,236,354",20.1858
21/11/2020,"6,449,842,331","3,105,616",N/E
22/11/2020,"2,500,939,457","2,223,476",N/E
23/11/2020,"450,082,689,466","4,960,395",20.1172
24/11/2020,"394,691,468,899","4,049,395",20.1012
25/11/2020,"568,878,393,172","3,917,344",20.0577
26/11/2020,"418,145,515,774","3,994,722",20.0465
27/11/2020,"532,459,069,336","6,052,780",20.0467
