Date,montoSpei,montoCodi,tc
8/1/2023,"7,734,970,682","3,242,410",N/E
9/1/2023,"540,551,466,392","15,902,261",19.1753
10/1/2023,"501,402,562,846","9,544,647",19.1648
11/1/2023,"489,980,956,103","9,883,329",19.1108
12/1/2023,"534,639,060,055","10,143,818",19.026
13/01/2023,"646,298,806,496","16,181,272",18.8735
14/01/2023,"18,340,524,830","8,138,039",N/E
15/01/2023,"10,763,336,294","4,425,454",N/E
16/01/2023,"614,142,483,735","12,045,647",18.7922
17/01/2023,"714,552,908,479","8,759,147",18.7913
18/01/2023,"499,372,820,168","9,281,384",18.7493
19/01/2023,"564,237,725,914","8,784,268",18.7493
20/01/2023,"587,493,981,692","11,495,893",19.0327
21/01/2023,"17,781,822,764","5,700,245",N/E
22/01/2023,"7,744,758,501","2,935,684",N/E
23/01/2023,"560,980,657,693","8,772,451",18.9257
24/01/2023,"477,906,361,194","7,892,778",18.8267
25/01/2023,"516,438,383,452","8,535,682",18.8318
26/01/2023,"531,337,228,328","8,715,630",18.82
27/01/2023,"627,965,973,221","23,522,654",18.8355
28/01/2023,"16,867,819,312","6,380,801",N/E
29/01/2023,"8,305,833,048","3,249,378",N/E
30/01/2023,"653,135,413,892","11,823,051",18.7872
31/01/2023,"759,778,631,861","11,257,193",18.7793
1/2/2023,"539,878,763,473","10,483,819",18.7937
2/2/2023,"506,961,343,896","10,411,261",18.739
3/2/2023,"540,176,068,652","14,349,080",18.6232
4/2/2023,"16,727,890,359","6,790,642",N/E
5/2/2023,"7,945,890,643","3,723,900",N/E
6/2/2023,"13,899,697,451","7,388,137",N/E
7/2/2023,"625,116,206,903","18,252,328",18.8895
8/2/2023,"509,830,849,409","9,549,352",19.0517
9/2/2023,"520,846,960,186","9,871,393",18.9435
10/2/2023,"590,392,181,650","13,322,662",18.9543
11/2/2023,"16,661,756,256","5,964,650",N/E
12/2/2023,"7,390,690,378","2,791,757",N/E
13/02/2023,"615,981,178,210","10,174,883",18.6893
14/02/2023,"540,277,634,064","11,966,143",18.6327
15/02/2023,"592,822,056,594","12,485,277",18.5383
16/02/2023,"562,423,714,302","12,159,539",18.6428
17/02/2023,"622,497,360,289","13,613,064",18.5497
18/02/2023,"16,290,167,200","6,064,612",N/E
19/02/2023,"7,985,942,950","2,983,998",N/E
20/02/2023,"588,091,987,906","9,030,610",18.4142
21/02/2023,"516,789,679,042","8,129,626",18.397
22/02/2023,"496,821,770,190","8,192,334",18.3938
23/02/2023,"541,927,738,850","9,369,585",18.3483
24/02/2023,"616,236,231,710","24,783,511",18.4107
25/02/2023,"17,084,618,992","6,433,514",N/E
26/02/2023,"8,247,662,721","4,608,456",N/E
27/02/2023,"697,378,864,853","11,760,144",18.4023
28/02/2023,"820,843,937,508","14,491,762",18.4077
1/3/2023,"551,740,964,615","11,952,586",18.3448
2/3/2023,"509,152,448,955","11,558,121",18.17
3/3/2023,"556,829,407,061","16,387,353",18.126
4/3/2023,"16,769,774,566","7,987,736",N/E
5/3/2023,"8,748,296,460","4,771,312",N/E
6/3/2023,"591,074,672,778","17,878,127",18.0123
7/3/2023,"494,250,806,251","10,125,723",18.0122
8/3/2023,"479,880,063,455","9,817,584",18.1155
9/3/2023,"566,417,562,375","10,518,908",17.9662
10/3/2023,"612,728,046,570","13,766,313",18.0577
11/3/2023,"16,584,841,226","6,236,806",N/E
12/3/2023,"7,779,014,818","3,023,099",N/E
13/03/2023,"603,270,747,114","11,528,458",18.4083
14/03/2023,"618,552,330,017","12,118,724",18.8302
15/03/2023,"747,369,584,114","13,468,782",18.6427
16/03/2023,"589,893,362,743","12,005,889",18.9972
17/03/2023,"690,636,612,825","13,958,938",18.9095
18/03/2023,"17,069,747,699","6,671,679",N/E
19/03/2023,"7,344,261,055","2,583,792",N/E
20/03/2023,"14,044,518,664","6,237,615",N/E
21/03/2023,"766,313,067,610","10,385,395",18.8977
22/03/2023,"536,002,735,423","9,015,428",18.6755
23/03/2023,"564,244,909,200","46,304,682",18.5437
24/03/2023,"579,216,578,430","24,189,632",18.4902
25/03/2023,"16,329,891,036","6,087,907",N/E
26/03/2023,"7,662,159,260","2,904,025",N/E
27/03/2023,"693,661,276,223","11,279,694",18.5178
28/03/2023,"575,174,410,977","9,894,801",18.383
29/03/2023,"590,561,011,769","11,942,932",18.2523
30/03/2023,"688,811,246,857","13,656,796",18.1052
31/03/2023,"919,557,778,210","18,248,749",18.0932
1/4/2023,"23,154,332,404","8,458,668",N/E
2/4/2023,"9,976,343,954","3,871,563",N/E
3/4/2023,"701,210,668,941","11,196,261",18.0415
4/4/2023,"529,767,744,173","10,275,623",18.107
5/4/2023,"647,779,894,268","12,829,360",18.1185
6/4/2023,"19,812,626,028","12,519,059",N/E
7/4/2023,"10,540,171,075","4,178,971",N/E
8/4/2023,"8,999,743,086","4,741,015",N/E
9/4/2023,"6,831,966,698","3,640,914",N/E
10/4/2023,"711,867,152,510","12,554,977",18.3323
11/4/2023,"570,184,231,652","10,738,190",18.1765
12/4/2023,"531,908,315,422","10,753,255",18.187
13/04/2023,"569,415,882,474","13,236,672",18.066
14/04/2023,"616,149,786,150","18,341,056",18.0152
15/04/2023,"22,880,712,616","10,724,764",N/E
16/04/2023,"10,699,640,875","5,885,456",N/E
17/04/2023,"719,877,447,543","12,210,387",18.0638
18/04/2023,"480,930,231,492","10,776,496",18.0868
19/04/2023,"482,594,393,482","11,595,881",18.063
20/04/2023,"535,843,593,105","10,759,427",18.0448
21/04/2023,"506,522,586,559","15,493,659",18.009
22/04/2023,"16,484,907,093","7,050,373",N/E
23/04/2023,"7,899,616,883","2,535,887",N/E
24/04/2023,"542,683,451,604","12,782,730",17.9988
25/04/2023,"536,627,143,532","11,301,520",18.0082
26/04/2023,"552,242,846,241","11,747,887",18.0892
27/04/2023,"638,867,941,220","13,189,277",18.103
28/04/2023,"875,550,686,200","19,847,600",18.0723
29/04/2023,"27,028,701,718","11,009,744",N/E
30/04/2023,"11,932,645,306","5,467,698",N/E
1/5/2023,"18,748,950,286","10,030,602",N/E
2/5/2023,"860,604,127,593","15,138,027",17.9975
3/5/2023,"564,935,270,838","12,697,325",18.0325
4/5/2023,"556,627,174,025","14,002,219",17.906
5/5/2023,"549,777,047,448","22,066,183",17.9575
6/5/2023,"17,246,470,695","8,851,956",N/E
7/5/2023,"8,126,626,715","3,726,970",N/E
8/5/2023,"563,261,673,389","14,515,556",17.7863
9/5/2023,"496,186,015,220","13,636,848",17.8213
10/5/2023,"459,072,187,163","12,405,139",17.7608
11/5/2023,"583,385,514,113","12,952,645",17.5845
12/5/2023,"609,007,004,439","17,951,420",17.6287
13/05/2023,"19,632,095,252","8,128,035",N/E
14/05/2023,"9,664,109,876","4,635,746",N/E
15/05/2023,"658,063,183,079","16,396,471",17.6142
16/05/2023,"537,444,437,365","12,826,884",17.538
17/05/2023,"608,052,223,257","11,660,620",17.4672
18/05/2023,"527,244,474,501","12,793,238",17.5872
19/05/2023,"563,994,486,844","16,242,072",17.7342
20/05/2023,"17,556,855,771","9,115,481",N/E
21/05/2023,"8,460,839,942","3,280,998",N/E
22/05/2023,"561,437,107,221","11,368,284",17.693
23/05/2023,"513,451,992,955","10,574,145",17.868
24/05/2023,"489,711,373,581","12,041,999",17.9687
25/05/2023,"588,719,710,631","12,644,603",17.8195
26/05/2023,"620,021,858,110","24,699,073",17.8252
27/05/2023,"18,348,402,143","6,597,107",N/E
28/05/2023,"8,605,003,730","3,013,039",N/E
29/05/2023,"552,618,665,148","13,541,527",17.6723
30/05/2023,"661,378,725,186","14,889,998",17.5605
31/05/2023,"778,263,588,835","15,689,067",17.6532
1/6/2023,"632,051,482,963","17,386,267",17.7418
2/6/2023,"602,626,866,480","18,486,120",17.5673
3/6/2023,"19,079,597,222","10,427,295",N/E
4/6/2023,"9,498,841,099","4,379,461",N/E
5/6/2023,"606,176,524,547","17,266,489",17.5063
6/6/2023,"496,617,305,547","12,995,103",17.4732
7/6/2023,"483,495,327,692","10,258,740",17.4192
