Date,relacion mont/num,tc,montoSpei,numSpei
7/12/2010,"817,157",12.3884,"217,448,824,223","266,104"
8/12/2010,"873,849",12.4123,"226,281,450,782","258,948"
9/12/2010,"783,885",12.4484,"230,821,261,483","294,458"
10/12/2010,"535,917",12.4586,"227,536,356,728","424,574"
11/12/2010,#VALOR!,N/E,N/E,N/E
12/12/2010,#VALOR!,N/E,N/E,N/E
13/12/2010,"760,051",12.4617,"235,686,535,445","310,093"
14/12/2010,"640,000",12.3869,"216,601,093,649","338,439"
15/12/2010,"616,873",12.3703,"254,540,211,261","412,630"
16/12/2010,"665,868",12.3963,"234,791,586,500","352,610"
17/12/2010,"597,571",12.4505,"261,936,154,369","438,335"
18/12/2010,#VALOR!,N/E,N/E,N/E
19/12/2010,#VALOR!,N/E,N/E,N/E
20/12/2010,"881,862",12.4345,"295,588,555,784","335,187"
21/12/2010,"727,890",12.417,"219,926,873,008","302,143"
22/12/2010,"704,021",12.372,"217,627,076,430","309,120"
23/12/2010,"660,391",12.3379,"228,402,298,538","345,859"
24/12/2010,"812,103",12.3332,"164,371,291,890","202,402"
25/12/2010,#VALOR!,N/E,N/E,N/E
26/12/2010,#VALOR!,N/E,N/E,N/E
27/12/2010,"1,095,008",12.3459,"225,581,448,259","206,009"
28/12/2010,"1,014,477",12.3653,"229,516,254,795","226,241"
29/12/2010,"885,528",12.3567,"239,717,757,591","270,706"
30/12/2010,"786,522",12.3571,"291,992,482,109","371,245"
31/12/2010,"723,022",12.3817,"213,246,798,615","294,938"
1/1/2011,#VALOR!,N/E,N/E,N/E
2/1/2011,#VALOR!,N/E,N/E,N/E
3/1/2011,"1,081,354",12.3496,"195,832,040,295","181,099"
4/1/2011,"912,717",12.2574,"173,927,343,002","190,560"
5/1/2011,"746,066",12.2619,"179,163,197,402","240,144"
6/1/2011,"913,676",12.2064,"187,363,967,555","205,066"
7/1/2011,"653,143",12.2256,"196,532,692,531","300,903"
8/1/2011,#VALOR!,N/E,N/E,N/E
9/1/2011,#VALOR!,N/E,N/E,N/E
10/1/2011,"1,034,608",12.2369,"278,366,355,082","269,055"
11/1/2011,"983,995",12.2542,"209,046,767,107","212,447"
12/1/2011,"1,003,753",12.1907,"206,405,787,029","205,634"
13/01/2011,"784,189",12.0757,"197,515,133,847","251,872"
14/01/2011,"503,798",12.1028,"240,070,111,580","476,521"
15/01/2011,#VALOR!,N/E,N/E,N/E
16/01/2011,#VALOR!,N/E,N/E,N/E
17/01/2011,"840,801",12.0871,"264,446,181,379","314,517"
18/01/2011,"838,495",12.0299,"193,388,075,256","230,637"
19/01/2011,"876,601",12.0261,"185,923,561,810","212,096"
20/01/2011,"856,311",12.0744,"203,481,663,450","237,626"
21/01/2011,"641,175",12.0903,"210,621,533,185","328,493"
22/01/2011,#VALOR!,N/E,N/E,N/E
23/01/2011,#VALOR!,N/E,N/E,N/E
24/01/2011,"903,465",12.0482,"224,158,592,684","248,110"
25/01/2011,"1,003,157",12.0516,"227,823,070,931","227,106"
26/01/2011,"981,020",12.0856,"209,273,228,539","213,322"
27/01/2011,"814,869",12.0408,"239,265,139,724","293,624"
28/01/2011,"560,162",12.0239,"244,876,599,543","437,153"
29/01/2011,#VALOR!,N/E,N/E,N/E
30/01/2011,#VALOR!,N/E,N/E,N/E
31/01/2011,"582,414",12.1214,"283,640,980,097","487,009"
1/2/2011,"900,925",12.1519,"224,665,532,705","249,372"
2/2/2011,"911,789",12.017,"202,566,796,519","222,164"
3/2/2011,"848,346",12.019,"219,499,249,788","258,738"
4/2/2011,"589,047",12.0499,"216,455,154,375","367,467"
5/2/2011,#VALOR!,N/E,N/E,N/E
6/2/2011,#VALOR!,N/E,N/E,N/E
7/2/2011,#VALOR!,11.9946,N/E,N/E
8/2/2011,"737,048",N/E,"228,907,148,531","310,573"
9/2/2011,"861,106",11.9937,"212,407,290,026","246,668"
10/2/2011,"801,329",12.0432,"228,097,597,502","284,649"
11/2/2011,"644,804",12.0937,"244,153,662,588","378,648"
12/2/2011,#VALOR!,N/E,N/E,N/E
13/02/2011,#VALOR!,N/E,N/E,N/E
14/02/2011,"730,510",12.0635,"244,166,546,857","334,241"
15/02/2011,"676,859",12.0461,"254,741,391,544","376,358"
16/02/2011,"811,655",12.114,"207,058,825,765","255,107"
17/02/2011,"928,267",12.0957,"246,658,191,242","265,719"
18/02/2011,"662,377",12.0483,"237,615,832,670","358,732"
19/02/2011,#VALOR!,N/E,N/E,N/E
20/02/2011,#VALOR!,N/E,N/E,N/E
21/02/2011,"807,894",12.0172,"210,076,582,754","260,030"
22/02/2011,"1,013,324",12.0558,"242,059,801,122","238,877"
23/02/2011,"994,656",12.0917,"233,816,784,822","235,073"
24/02/2011,"897,718",12.19,"247,834,024,876","276,071"
25/02/2011,"558,175",12.173,"255,634,810,799","457,983"
26/02/2011,#VALOR!,N/E,N/E,N/E
27/02/2011,#VALOR!,N/E,N/E,N/E
28/02/2011,"558,675",12.1235,"310,401,920,931","555,604"
1/3/2011,"894,216",12.1062,"251,555,586,846","281,314"
2/3/2011,"842,755",12.0929,"215,258,291,997","255,422"
3/3/2011,"774,752",12.0981,"223,063,623,971","287,916"
4/3/2011,"557,238",12.0368,"216,597,677,231","388,699"
5/3/2011,#VALOR!,N/E,N/E,N/E
6/3/2011,#VALOR!,N/E,N/E,N/E
7/3/2011,"798,026",12.0064,"223,352,300,811","279,881"
8/3/2011,"843,236",12.017,"211,349,573,713","250,641"
9/3/2011,"915,052",12.0254,"232,065,335,931","253,609"
10/3/2011,"842,545",11.968,"244,415,688,297","290,092"
11/3/2011,"645,194",11.9755,"255,580,856,900","396,130"
12/3/2011,#VALOR!,N/E,N/E,N/E
13/03/2011,#VALOR!,N/E,N/E,N/E
14/03/2011,"701,425",11.9441,"246,846,223,081","351,921"
15/03/2011,"580,327",11.9235,"231,681,087,325","399,225"
16/03/2011,"817,330",12.0171,"227,487,544,372","278,330"
17/03/2011,"875,484",12.071,"248,569,205,966","283,922"
18/03/2011,"590,692",12.0925,"230,443,769,575","390,125"
19/03/2011,#VALOR!,N/E,N/E,N/E
20/03/2011,#VALOR!,N/E,N/E,N/E
21/03/2011,#VALOR!,12.0615,N/E,N/E
22/03/2011,"797,958",N/E,"251,094,217,807","314,671"
23/03/2011,"835,178",11.9885,"220,269,847,966","263,740"
