Date,montoSpei,montoCodi,tc
20/11/2010,N/E,,N/E
21/11/2010,N/E,,N/E
22/11/2010,"202,243,567,757",,12.2996
23/11/2010,"209,911,795,229",,12.309
24/11/2010,"192,329,058,077",,12.4577
25/11/2010,"215,056,133,826",,12.3912
26/11/2010,"237,780,711,377",,12.3669
27/11/2010,N/E,,N/E
28/11/2010,3,,N/E
29/11/2010,"257,620,554,009",,12.489
30/11/2010,"265,412,841,789",,12.5538
1/12/2010,"207,640,806,053",,12.4664
2/12/2010,"207,339,674,635",,12.3967
3/12/2010,"238,647,391,272",,12.3546
4/12/2010,N/E,,N/E
5/12/2010,N/E,,N/E
6/12/2010,"221,630,237,249",,12.3597
7/12/2010,"217,448,824,223",,12.3884
8/12/2010,"226,281,450,782",,12.4123
9/12/2010,"230,821,261,483",,12.4484
10/12/2010,"227,536,356,728",,12.4586
11/12/2010,N/E,,N/E
12/12/2010,N/E,,N/E
13/12/2010,"235,686,535,445",,12.4617
14/12/2010,"216,601,093,649",,12.3869
15/12/2010,"254,540,211,261",,12.3703
16/12/2010,"234,791,586,500",,12.3963
17/12/2010,"261,936,154,369",,12.4505
18/12/2010,N/E,,N/E
19/12/2010,N/E,,N/E
20/12/2010,"295,588,555,784",,12.4345
21/12/2010,"219,926,873,008",,12.417
22/12/2010,"217,627,076,430",,12.372
23/12/2010,"228,402,298,538",,12.3379
24/12/2010,"164,371,291,890",,12.3332
25/12/2010,N/E,,N/E
26/12/2010,N/E,,N/E
27/12/2010,"225,581,448,259",,12.3459
28/12/2010,"229,516,254,795",,12.3653
29/12/2010,"239,717,757,591",,12.3567
30/12/2010,"291,992,482,109",,12.3571
31/12/2010,"213,246,798,615",,12.3817
1/1/2011,N/E,,N/E
2/1/2011,N/E,,N/E
3/1/2011,"195,832,040,295",,12.3496
4/1/2011,"173,927,343,002",,12.2574
5/1/2011,"179,163,197,402",,12.2619
6/1/2011,"187,363,967,555",,12.2064
7/1/2011,"196,532,692,531",,12.2256
8/1/2011,N/E,,N/E
9/1/2011,N/E,,N/E
10/1/2011,"278,366,355,082",,12.2369
11/1/2011,"209,046,767,107",,12.2542
12/1/2011,"206,405,787,029",,12.1907
13/01/2011,"197,515,133,847",,12.0757
14/01/2011,"240,070,111,580",,12.1028
15/01/2011,N/E,,N/E
16/01/2011,N/E,,N/E
17/01/2011,"264,446,181,379",,12.0871
18/01/2011,"193,388,075,256",,12.0299
19/01/2011,"185,923,561,810",,12.0261
20/01/2011,"203,481,663,450",,12.0744
21/01/2011,"210,621,533,185",,12.0903
22/01/2011,N/E,,N/E
23/01/2011,N/E,,N/E
24/01/2011,"224,158,592,684",,12.0482
25/01/2011,"227,823,070,931",,12.0516
26/01/2011,"209,273,228,539",,12.0856
27/01/2011,"239,265,139,724",,12.0408
28/01/2011,"244,876,599,543",,12.0239
29/01/2011,N/E,,N/E
30/01/2011,N/E,,N/E
31/01/2011,"283,640,980,097",,12.1214
1/2/2011,"224,665,532,705",,12.1519
2/2/2011,"202,566,796,519",,12.017
3/2/2011,"219,499,249,788",,12.019
4/2/2011,"216,455,154,375",,12.0499
5/2/2011,N/E,,N/E
6/2/2011,N/E,,N/E
7/2/2011,N/E,,11.9946
8/2/2011,"228,907,148,531",,N/E
9/2/2011,"212,407,290,026",,11.9937
10/2/2011,"228,097,597,502",,12.0432
11/2/2011,"244,153,662,588",,12.0937
12/2/2011,N/E,,N/E
13/02/2011,N/E,,N/E
14/02/2011,"244,166,546,857",,12.0635
15/02/2011,"254,741,391,544",,12.0461
16/02/2011,"207,058,825,765",,12.114
17/02/2011,"246,658,191,242",,12.0957
18/02/2011,"237,615,832,670",,12.0483
19/02/2011,N/E,,N/E
20/02/2011,N/E,,N/E
21/02/2011,"210,076,582,754",,12.0172
22/02/2011,"242,059,801,122",,12.0558
23/02/2011,"233,816,784,822",,12.0917
24/02/2011,"247,834,024,876",,12.19
25/02/2011,"255,634,810,799",,12.173
26/02/2011,N/E,,N/E
27/02/2011,N/E,,N/E
28/02/2011,"310,401,920,931",,12.1235
1/3/2011,"251,555,586,846",,12.1062
2/3/2011,"215,258,291,997",,12.0929
3/3/2011,"223,063,623,971",,12.0981
4/3/2011,"216,597,677,231",,12.0368
